"x"
48
33
39
27
40
26
75
20
26
38
31
53
56
54
28
28
33
41
38
58
39
34
38
46
41
30
29
46
17
19
41
40
36
36
27
54
23
46
24
35
25
59
42
29
35
32
48
25
