"x"
55
32
44
37
43
30
74
40
39
35
41
44
53
51
30
31
50
38
41
64
34
50
32
69
42
41
37
49
56
18
48
64
33
36
41
50
31
45
42
33
35
56
43
19
60
45
50
43
