"x"
60
24
57
34
42
40
75
38
35
44
39
44
52
58
33
21
37
38
53
59
41
42
45
69
39
45
33
45
61
17
43
65
41
45
34
52
18
43
39
21
41
69
41
54
60
28
50
44
